央视,#genre#
湖北卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.8:9632
广西卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.10:8000
广东卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.13:9422
深圳卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.15:9430
江西卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.111:8000
云南卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.177:8000
贵州卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.49:8000
四川卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.110:8000
重庆卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.57:9830
东南卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.112:8000
辽宁卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.48:8000
吉林卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.113:8000
黑龙江卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.14:9426
海南卫视HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.83:8000
宁夏卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.171:8000
甘肃卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.172:8000
新疆卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.178:8000
内蒙古卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.180:8000
陕西卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.233:8000
西藏卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.245:8000
山西卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.67:8528
青海卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.69:8544
三沙卫视,http://1k75c34199.vicp.fun:4022/udp/239.49.0.167:8000
金鹰卡通HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.33:8000
上海,#genre#
生活时尚HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.40:8004
游戏风云HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.41:8012
欢笑剧场HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.47:8060
欢笑剧场4K UHD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.106:8000
