央视频道,#genre#
甘肃卫视,http://origin.lean.org.cn:4000/udp/239.45.0.15:5140
内蒙古卫视,http://origin.lean.org.cn:4000/udp/239.45.1.238:5140
河南卫视,http://origin.lean.org.cn:4000/udp/239.45.0.3:5140
新疆卫视,http://origin.lean.org.cn:4000/udp/239.45.1.116:5140
兵团卫视,http://origin.lean.org.cn:4000/udp/239.45.1.117:5140
三沙卫视,http://origin.lean.org.cn:4000/udp/239.45.1.82:5140
康巴卫视,http://origin.lean.org.cn:4000/udp/239.45.1.251:5140
浙江卫视,http://www.baopiqi.top:4022/udp/239.45.3.178:5140 
江苏卫视,http://www.baopiqi.top:4022/udp/239.45.3.177:5140 
湖南卫视,http://www.baopiqi.top:4022/udp/239.45.3.228:5140 
北京卫视,http://www.baopiqi.top:4022/udp/239.45.3.229:5140 
广东卫视,http://www.baopiqi.top:4022/udp/239.45.3.230:5140 
深圳卫视,http://www.baopiqi.top:4022/udp/239.45.3.231:5140 
黑龙江卫视,http://www.baopiqi.top:4022/udp/239.45.3.232:5140 
山东卫视,http://www.baopiqi.top:4022/udp/239.45.3.238:5140 
湖北卫视,http://www.baopiqi.top:4022/udp/239.45.3.239:5140 
安徽卫视,http://www.baopiqi.top:4022/udp/239.45.1.120:5140 
东南卫视,http://www.baopiqi.top:4022/udp/239.45.1.121:5140 
江西卫视,http://www.baopiqi.top:4022/udp/239.45.1.122:5140 
辽宁卫视,http://www.baopiqi.top:4022/udp/239.45.1.123:5140 
天津卫视,http://www.baopiqi.top:4022/udp/239.45.1.124:5140 
四川卫视,http://www.baopiqi.top:4022/udp/239.45.1.83:5140 
重庆卫视,http://www.baopiqi.top:4022/udp/239.45.1.84:5140 
贵州卫视,http://www.baopiqi.top:4022/udp/239.45.1.80:5140 
旅游卫视,http://www.baopiqi.top:4022/udp/239.45.1.81:5140 
河北卫视,http://www.baopiqi.top:4022/udp/239.45.1.44:5140 
记实科教,http://www.baopiqi.top:4022/udp/239.45.1.14:5140 
广西卫视,http://www.baopiqi.top:4022/udp/239.45.0.5:5140 
吉林卫视,http://www.baopiqi.top:4022/udp/239.45.0.6:5140 
山西卫视,http://www.baopiqi.top:4022/udp/239.45.1.229:5140 
青海卫视,http://www.baopiqi.top:4022/udp/239.45.1.230:5140 
西藏卫视,http://www.baopiqi.top:4022/udp/239.45.1.231:5140 
陕西卫视,http://www.baopiqi.top:4022/udp/239.45.1.232:5140 
云南卫视,http://www.baopiqi.top:4022/udp/239.45.0.4:5140 
甘肃卫视,http://www.baopiqi.top:4022/udp/239.45.0.15:5140 
内蒙古卫视,http://www.baopiqi.top:4022/udp/239.45.1.238:5140 
河南卫视,http://www.baopiqi.top:4022/udp/239.45.0.3:5140 
新疆卫视,http://www.baopiqi.top:4022/udp/239.45.1.116:5140 
兵团卫视,http://www.baopiqi.top:4022/udp/239.45.1.117:5140 
三沙卫视,http://www.baopiqi.top:4022/udp/239.45.1.82:5140 
康巴卫视,http://www.baopiqi.top:4022/udp/239.45.1.251:5140
其它频道,#genre#
CHC家庭影院,http://origin.lean.org.cn:4000/rtp/239.45.0.40:5140
CHC家庭影院,http://origin.lean.org.cn:4000/rtp/239.45.1.22:5140
CHC动作电影,http://origin.lean.org.cn:4000/rtp/239.45.0.41:5140
CHC影迷电影,http://origin.lean.org.cn:4000/rtp/239.45.0.42:5140
金鹰卡通,http://origin.lean.org.cn:4000/udp/239.45.3.118:5140
金鹰纪实,http://origin.lean.org.cn:4000/udp/239.45.1.45:5140
嘉佳卡通,http://origin.lean.org.cn:4000/udp/239.45.1.48:5140
卡酷动画,http://origin.lean.org.cn:4000/udp/239.45.0.8:5140
北京纪实,http://origin.lean.org.cn:4000/udp/239.45.1.14:5140
中国天气,http://origin.lean.org.cn:4000/udp/239.45.1.47:5140
陶瓷,http://origin.lean.org.cn:4000/udp/239.45.3.50:5140
百事通4K电影,http://origin.lean.org.cn:4000/udp/239.45.3.107:5140
百事通4K纪实,http://origin.lean.org.cn:4000/udp/239.45.1.10:5140
百事通4K儿童,http://origin.lean.org.cn:4000/udp/239.45.1.1:5140
家庭理财,http://origin.lean.org.cn:4000/udp/239.45.0.14:5140
新冠病毒,http://origin.lean.org.cn:4000/udp/239.45.3.235:5140
快乐垂钓,http://origin.lean.org.cn:4000/udp/239.45.3.12:5140
茶频道,http://origin.lean.org.cn:4000/udp/239.45.3.18:5140
频道,http://origin.lean.org.cn:4000/udp/239.45.3.22:5140
财富天下,http://origin.lean.org.cn:4000/udp/239.45.0.7:5140
空中课堂一年级,http://origin.lean.org.cn:4000/udp/239.45.1.28:5140
空中课堂二年级,http://origin.lean.org.cn:4000/udp/239.45.1.73:5140
空中课堂三年级,http://origin.lean.org.cn:4000/udp/239.45.1.75:5140
空中课堂四年级,http://origin.lean.org.cn:4000/udp/239.45.1.72:5140
空中课堂五年级,http://origin.lean.org.cn:4000/udp/239.45.1.32:5140
空中课堂六年级,http://origin.lean.org.cn:4000/udp/239.45.1.33:5140
空中课堂七年级,http://origin.lean.org.cn:4000/udp/239.45.1.34:5140
空中课堂八年级,http://origin.lean.org.cn:4000/udp/239.45.1.35:5140
空中课堂九年级,http://origin.lean.org.cn:4000/udp/239.45.1.36:5140
空中课堂高一年级,http://origin.lean.org.cn:4000/udp/239.45.1.37:5140
空中课堂高三年级,http://origin.lean.org.cn:4000/udp/239.45.1.39:5140
空中课堂高二年级,http://origin.lean.org.cn:4000/udp/239.45.1.38:5140
东方购物直播,http://origin.lean.org.cn:4000/udp/239.45.3.74:5140
大购物优选,http://origin.lean.org.cn:4000/udp/239.45.3.75:5140
东方购物优选,http://origin.lean.org.cn:4000/udp/239.45.1.111:5140
东方购物-3,http://origin.lean.org.cn:4000/udp/239.45.3.207:5140
东方购物-4,http://origin.lean.org.cn:4000/udp/239.45.3.208:5140
东方购物-5,http://origin.lean.org.cn:4000/udp/239.45.3.253:5140
聚鲨环球精选,http://origin.lean.org.cn:4000/udp/239.45.3.123:5140
央广购物,http://origin.lean.org.cn:4000/udp/239.45.3.213:5140
家家购物,http://origin.lean.org.cn:4000/udp/239.45.3.179:5140
快乐购物,http://origin.lean.org.cn:4000/udp/239.45.1.53:5140
优购物,http://origin.lean.org.cn:4000/udp/239.45.1.114:5140
好享购物,http://origin.lean.org.cn:4000/udp/239.45.1.253:5140
中央购物,http://origin.lean.org.cn:4000/udp/239.45.3.79:5140
家有购物,http://origin.lean.org.cn:4000/udp/239.45.1.43:5140
风尚购物,http://origin.lean.org.cn:4000/udp/239.45.1.27:5140
中视购物,http://origin.lean.org.cn:4000/udp/239.45.1.56:5140
大恩好物,http://origin.lean.org.cn:4000/udp/239.45.1.57:5140
